 TITLE="SURFACE DATA."
 variables="z","Theta","P","U","V","W","T","M"
 ZONE T="POST", I=     1, J=   200, K=   120
 0.000000000D+00  0.400637509D+01  0.610314211D+01 -0.435492218D+00  0.216840434D-18 -0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.406057049D+01  0.611467223D+01 -0.433484882D+00  0.216840434D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.411575771D+01  0.612599203D+01 -0.431453109D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.417193153D+01  0.613710828D+01 -0.429405838D+00 -0.216840434D-18  0.000000000D+00  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.422906951D+01  0.614802741D+01 -0.427349985D+00 -0.433680869D-18  0.173472348D-17 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.428713431D+01  0.615875556D+01 -0.425291330D+00  0.000000000D+00  0.867361738D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.434607118D+01  0.616929856D+01 -0.423237294D+00  0.216840434D-18  0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.440580344D+01  0.617966198D+01 -0.421194553D+00  0.000000000D+00 -0.867361738D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.446623337D+01  0.618985118D+01 -0.419168383D+00  0.108420217D-18  0.867361738D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.452724449D+01  0.619987125D+01 -0.417164296D+00  0.108420217D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.458870467D+01  0.620972708D+01 -0.415187568D+00 -0.108420217D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.465046990D+01  0.621942335D+01 -0.413241833D+00 -0.216840434D-18  0.000000000D+00  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.471238898D+01  0.622896456D+01 -0.411330700D+00  0.108420217D-18  0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.477396362D+01  0.623835500D+01 -0.409458011D+00 -0.542101086D-19 -0.867361738D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.483301989D+01  0.624759883D+01 -0.407626838D+00  0.000000000D+00  0.173472348D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.488958642D+01  0.625670002D+01 -0.405840099D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.494371163D+01  0.626566239D+01 -0.404100388D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.499546097D+01  0.627448964D+01 -0.402406126D+00  0.542101086D-19 -0.867361738D-18  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.504491355D+01  0.314159265D+01 -0.400751561D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.509215896D+01 -0.542501152D+00 -0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.312724709D+01
 0.000000000D+00  0.513729365D+01 -0.533254087D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.235654855D+01
 0.000000000D+00  0.518041905D+01 -0.524792671D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.172073019D+01
 0.000000000D+00  0.522163852D+01 -0.517105102D+00  0.000000000D+00  0.271050543D-19  0.433680869D-18  0.100000000D+01  0.122225058D+01
 0.000000000D+00  0.526105509D+01 -0.510155559D+00  0.108420217D-18  0.542101086D-19  0.000000000D+00  0.100000000D+01  0.878985584D+00
 0.000000000D+00  0.529876822D+01 -0.503893495D+00  0.108420217D-18 -0.542101086D-19  0.000000000D+00  0.100000000D+01  0.723579586D+00
 0.000000000D+00  0.533487392D+01 -0.498260796D+00 -0.216840434D-18  0.108420217D-18 -0.216840434D-18  0.100000000D+01  0.745830297D+00
 0.000000000D+00  0.536946465D+01 -0.493197679D+00  0.000000000D+00 -0.108420217D-18  0.000000000D+00  0.100000000D+01  0.861415207D+00
 0.000000000D+00  0.540262901D+01 -0.488647848D+00 -0.216840434D-18 -0.108420217D-18  0.000000000D+00  0.100000000D+01  0.998245716D+00
 0.000000000D+00  0.543445147D+01 -0.484561622D+00  0.216840434D-18  0.216840434D-18 -0.216840434D-18  0.100000000D+01  0.112527621D+01
 0.000000000D+00  0.546501205D+01 -0.480899155D+00 -0.216840434D-18  0.000000000D+00 -0.325260652D-18  0.100000000D+01  0.123280394D+01
 0.000000000D+00  0.549438607D+01 -0.477627724D+00 -0.216840434D-18  0.000000000D+00 -0.108420217D-18  0.100000000D+01  0.131953466D+01
 0.000000000D+00  0.552264498D+01 -0.474728197D+00 -0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.138793528D+01
 0.000000000D+00  0.554985558D+01 -0.472190261D+00 -0.216840434D-18 -0.216840434D-18  0.108420217D-18  0.100000000D+01  0.144195712D+01
 0.000000000D+00  0.557608068D+01 -0.469976872D+00 -0.216840434D-18  0.000000000D+00 -0.108420217D-18  0.100000000D+01  0.148720717D+01
 0.000000000D+00  0.560137892D+01 -0.468076676D+00  0.000000000D+00 -0.433680869D-18  0.000000000D+00  0.100000000D+01  0.152907634D+01
 0.000000000D+00  0.562580528D+01 -0.466482550D+00  0.000000000D+00  0.216840434D-18 -0.216840434D-18  0.100000000D+01  0.157251489D+01
 0.000000000D+00  0.564941094D+01 -0.465158731D+00 -0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.162270868D+01
 0.000000000D+00  0.567224344D+01 -0.464077681D+00 -0.216840434D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.168356514D+01
 0.000000000D+00  0.569434593D+01 -0.463203579D+00  0.000000000D+00  0.433680869D-18  0.216840434D-18  0.100000000D+01  0.175828004D+01
 0.000000000D+00  0.571575844D+01 -0.462498844D+00 -0.433680869D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.184882986D+01
 0.000000000D+00  0.573651846D+01 -0.461925089D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.195600796D+01
 0.000000000D+00  0.575666071D+01 -0.461445034D+00  0.216840434D-18  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.207948065D+01
 0.000000000D+00  0.577621760D+01 -0.461023688D+00 -0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.221796989D+01
 0.000000000D+00  0.579521963D+01 -0.460629135D+00 -0.216840434D-18 -0.433680869D-18  0.216840434D-18  0.100000000D+01  0.236943626D+01
 0.000000000D+00  0.581369475D+01 -0.460232973D+00  0.216840434D-18  0.867361738D-18  0.216840434D-18  0.100000000D+01  0.253127193D+01
 0.000000000D+00  0.583166950D+01 -0.459810495D+00  0.216840434D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.270048284D+01
 0.000000000D+00  0.584916851D+01 -0.459340721D+00 -0.433680869D-18 -0.867361738D-18 -0.216840434D-18  0.100000000D+01  0.287390018D+01
 0.000000000D+00  0.586621480D+01 -0.458806157D+00  0.000000000D+00  0.433680869D-18 -0.433680869D-18  0.100000000D+01  0.304835653D+01
 0.000000000D+00  0.588282989D+01 -0.458192706D+00  0.000000000D+00 -0.433680869D-18  0.216840434D-18  0.100000000D+01  0.322078514D+01
 0.000000000D+00  0.589903391D+01 -0.457489431D+00  0.433680869D-18  0.433680869D-18 -0.433680869D-18  0.100000000D+01  0.338839912D+01
 0.000000000D+00  0.591484573D+01 -0.456688345D+00 -0.867361738D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.354873991D+01
 0.000000000D+00  0.593028299D+01 -0.455783993D+00  0.000000000D+00  0.173472348D-17  0.000000000D+00  0.100000000D+01  0.369972944D+01
 0.000000000D+00  0.594536219D+01 -0.454773247D+00 -0.433680869D-18  0.867361738D-18  0.000000000D+00  0.100000000D+01  0.383969688D+01
 0.000000000D+00  0.596009888D+01 -0.453655213D+00  0.433680869D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.396732616D+01
 0.000000000D+00  0.597450755D+01 -0.452430844D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.408164453D+01
 0.000000000D+00  0.598860187D+01 -0.451101810D+00 -0.433680869D-18 -0.867361738D-18 -0.216840434D-18  0.100000000D+01  0.418199444D+01
 0.000000000D+00  0.600239447D+01 -0.449676692D+00  0.867361738D-18 -0.867361738D-18  0.000000000D+00  0.100000000D+01  0.426819801D+01
 0.000000000D+00  0.601589706D+01 -0.448171318D+00  0.433680869D-18 -0.867361738D-18  0.000000000D+00  0.100000000D+01  0.434051371D+01
 0.000000000D+00  0.602912059D+01 -0.446572721D+00  0.000000000D+00  0.867361738D-18  0.000000000D+00  0.100000000D+01  0.439914560D+01
 0.000000000D+00  0.604207535D+01 -0.444879979D+00 -0.433680869D-18  0.867361738D-18  0.216840434D-18  0.100000000D+01  0.444419336D+01
